feature,pearson_mfe,spearman_mfe,spearman_hit_1p5,fold_spearman_mean,fold_spearman_std,stability,mfe_spread_q90_q10,hit_spread_q90_q10,edge_score
dist_to_high_10,0.00806269900469394,-0.006201872031294849,-0.0014120334071908186,-0.003463078308887836,0.030703335770462352,0.0,-0.26840196521649506,-0.010848126232741617,0.04221087698297038
edge_trend_accel,-0.010914302730388405,-0.010193783033880877,-0.01315284696856531,-0.01313066657282265,0.022557241541321667,0.0,-0.2342007042809351,-0.017751479289940808,0.040187920214340006
ret_10,0.006626162566927399,0.005097924204015407,0.006915355970321023,0.002195520968731163,0.036921884446350715,0.0,-0.23738626504654015,-0.008875739644970404,0.03704439396366085
ret_50,0.012482756071716292,0.00818559826782525,0.009222004742658349,0.008872052462075276,0.02474500140038196,0.0,0.20073995671714462,0.025641025641025605,0.03489310918719307
tick_velocity_ratio,0.010439450256840543,-0.00663163018784961,-0.002783686116040172,-0.016027638171447985,0.0224752765017661,0.0,0.13370434294594302,-0.014792899408284044,0.025541850925581852
price_vol_divergence,-0.015330947789498865,-0.010367812181264202,-0.013492367716305246,-0.009123213817686562,0.0309653187687113,0.0,-0.12968775988910863,-0.014262903096175783,0.023160257747405513
signal,0.01674223503020722,0.005195217114792387,0.010061040349528916,0.009354654255157952,0.04156237944590539,0.0,0.12595396124146907,0.009458691602647173,0.022177626910274566
vol_imbalance_sma50,-0.00430644178345647,0.008786011905029693,0.01042080224161904,0.009006712121824835,0.015266381336273439,0.0,-0.12882780778144642,-0.0009861932938856066,0.02167446852706173
is_ny,-0.008581202186983763,0.03146425196065315,0.021742614101661083,0.03261264904597118,0.03372551326760107,0.0,-0.0718143085841616,0.02273863473141635,0.02119917202225867
hour_sin,0.008813462494918484,-0.039181714969835434,-0.023410582767330247,-0.04407179894074112,0.033102867915824376,0.24890479589613912,-0.004861856134142695,-0.04534083802376482,0.020333808587431664
vol_imbalance_sma5,0.006581935699163313,0.004357401775374448,0.009557530332167798,0.009747999376653268,0.018003280319262176,0.0,0.10799914089589757,-0.0029585798816567643,0.018932728966713632
liquidity_shock,0.000713715732937538,0.022751108292065548,0.00504131143003327,0.0015374319562956676,0.01030611601123123,0.0,-0.10580582455920196,0.024654832347140054,0.018720714907668218
micro_trend_alignment,-0.00754697665685044,-0.0173478613739614,-0.015530311456930538,-0.01559282828505859,0.012922139704190884,0.17132987051214466,-0.06477282195261536,-0.01520659409309022,0.01772783134558243
spread_ratio,0.00854867959418057,0.01151396767517099,0.018602735036117573,0.008411212761386058,0.01973320100394071,0.0,0.06983008578555694,0.01577909270216965,0.014155225328397022
dist_to_low_50,0.008872753545885317,-0.0014701291913196354,8.040277592423267e-05,0.0031525053549929178,0.024058169053626392,0.0,-0.07021525779672899,-0.024654832347140054,0.013785898242971583
order_flow_toxicity,0.008629286200714023,-0.0019116020126895216,0.008859510871286854,0.0006561625633419125,0.027999040954371,0.0,-0.08337012181311976,-0.007889546351084797,0.01345851354791192
buy_ratio,0.013639286250530238,0.00198122030290989,0.01123759690007838,0.007885358512581115,0.028199866573687875,0.0,0.06783943654394298,0.007889546351084797,0.012936209744845205
hour_cos,0.015063757202443028,-0.011376602079556458,-0.004948211407678868,-0.005487761072408505,0.020689080282738123,0.0,0.06622097889628842,0.014221999174363176,0.012727287019981708
edge_vel_over_spread,-0.00019070928813147685,-0.007833961471808263,-0.007982396199852073,-0.016327714873886782,0.02612968330748077,0.0,0.04434255466252646,-0.014792899408284044,0.012212601858679069
is_london,-0.008571291183733922,0.008596105052777187,0.0050872069157863065,-0.0010054625799442059,0.025816007667492542,0.0,-0.06643657134348713,0.004927539827253302,0.01070960532923445
buy_ratio_sma5,0.010830358988217692,0.006930042695202381,0.012133646748000099,0.011543720864585575,0.021257446338325395,0.0,0.04956310706789724,-0.0009861932938856066,0.01041901560571954
dist_to_low_10,0.011095113296667031,0.0026679409874851697,0.0057081667451252755,0.008565692415272358,0.0325986978466558,0.0,-0.05012975904137207,0.0009861932938856066,0.00975950628941246
edge_breakout_distance,-0.0031554186291048504,0.010905323352067826,0.0030362268600193903,0.008312355052431436,0.030667067886748164,0.0,0.04478259328008738,0.00591715976331364,0.00938719373145233
rsi_14,0.014984663428313798,0.001551991217987031,0.004912387263600304,0.006484537818313822,0.031415696166910666,0.0,-0.022628830403688127,0.017751479289940864,0.006790606944125761
vol_imbalance,0.002830723896785372,-7.449435883043953e-05,0.009008338493008437,0.007375742515436236,0.02581353896055422,0.0,0.014572645431471631,0.0019723865877712132,0.004227071102356925
edge_imbalance_x_velocity,-0.0005436914540188449,-0.0018222732352990816,0.00744102229029367,0.004514472233341078,0.026944060154782772,0.0,-0.001230644562265848,0.0009861932938856066,0.0014118340720637073
